Pays,Annee,Categorie de vehicules,Polluant,emission facteur,Unite
FR,2030,LBus,NOx,"0,934",[g/Vehkm]
FR,2030,LBus,PM,"0,013",[g/Vehkm]
FR,2030,MC,carb_MJ,"1,404",[MJ/Vehkm]
FR,2030,MC,CO,"0,637",[g/Vehkm]
FR,2030,MC,CO2(rep),"92,01",[g/Vehkm]
FR,2030,MC,HC,"0,441",[g/Vehkm]
FR,2030,MC,mcarb,"33,71",[g/Vehkm]
FR,2030,MC,NOx,"0,023",[g/Vehkm]
FR,2030,MC,PM,"0,028",[g/Vehkm]
FR,2030,PLM,carb_MJ,"9,859",[MJ/Vehkm]
FR,2030,PLM,CO,"0,263",[g/Vehkm]
FR,2030,PLM,CO2(rep),"664,652",[g/Vehkm]
FR,2030,PLM,HC,"0,099",[g/Vehkm]
FR,2030,PLM,mcarb,"232,087",[g/Vehkm]
FR,2030,PLM,NOx,"0,417",[g/Vehkm]
FR,2030,PLM,PM,"0,005",[g/Vehkm]
FR,2030,VL,carb_MJ,"2,996",[MJ/Vehkm]
FR,2030,VL,CO,"0,42",[g/Vehkm]
FR,2030,VL,CO2(rep),"206,637",[g/Vehkm]
FR,2030,VL,HC,"0,033",[g/Vehkm]
FR,2030,VL,mcarb,"70,441",[g/Vehkm]
FR,2030,VL,NOx,"0,267",[g/Vehkm]
FR,2030,VL,PM,"0,023",[g/Vehkm]
FR,2030,VT,carb_MJ,"1,976",[MJ/Vehkm]
FR,2030,VT,CO,"0,568",[g/Vehkm]
FR,2030,VT,CO2(rep),"130,138",[g/Vehkm]
FR,2030,VT,HC,"0,092",[g/Vehkm]
FR,2030,VT,mcarb,"45,919",[g/Vehkm]
FR,2030,VT,NOx,"0,308",[g/Vehkm]
FR,2030,VT,PM,"0,004",[g/Vehkm]
FR,2035,CAR,carb_MJ,"6,942",[MJ/Vehkm]
FR,2035,CAR,CO,"0,26",[g/Vehkm]
FR,2035,CAR,CO2(rep),"466,344",[g/Vehkm]
FR,2035,CAR,HC,"0,04",[g/Vehkm]
FR,2035,CAR,mcarb,"164,891",[g/Vehkm]
FR,2035,CAR,NOx,"0,344",[g/Vehkm]
FR,2035,CAR,PM,"0,005",[g/Vehkm]
FR,2035,LBus,carb_MJ,"10,725",[MJ/Vehkm]
FR,2035,LBus,CO,"0,389",[g/Vehkm]
FR,2035,LBus,CO2(rep),"552,972",[g/Vehkm]
FR,2035,LBus,HC,"0,066",[g/Vehkm]
FR,2035,LBus,mcarb,"218,132",[g/Vehkm]
FR,2035,LBus,NOx,"0,441",[g/Vehkm]
FR,2035,LBus,PM,"0,007",[g/Vehkm]
FR,2035,MC,carb_MJ,"1,345",[MJ/Vehkm]
FR,2035,MC,CO,"0,609",[g/Vehkm]
FR,2035,MC,CO2(rep),"85,945",[g/Vehkm]
FR,2035,MC,HC,"0,424",[g/Vehkm]
FR,2035,MC,mcarb,"32,538",[g/Vehkm]
FR,2035,MC,NOx,"0,02",[g/Vehkm]
FR,2035,MC,PM,"0,027",[g/Vehkm]
FR,2035,PLM,carb_MJ,"8,825",[MJ/Vehkm]
FR,2035,PLM,CO,"0,287",[g/Vehkm]
FR,2035,PLM,CO2(rep),"566,187",[g/Vehkm]
FR,2035,PLM,HC,"0,132",[g/Vehkm]
FR,2035,PLM,mcarb,"206,351",[g/Vehkm]
FR,2035,PLM,NOx,"0,383",[g/Vehkm]
FR,2035,PLM,PM,"0,004",[g/Vehkm]
FR,2035,VL,carb_MJ,"2,755",[MJ/Vehkm]
FR,2035,VL,CO,"0,556",[g/Vehkm]
FR,2035,VL,CO2(rep),"181,452",[g/Vehkm]
FR,2035,VL,HC,"0,043",[g/Vehkm]
FR,2035,VL,mcarb,"63,801",[g/Vehkm]
FR,2035,VL,NOx,"0,138",[g/Vehkm]
FR,2035,VL,PM,"0,024",[g/Vehkm]
FR,2035,VT,carb_MJ,"1,822",[MJ/Vehkm]
FR,2035,VT,CO,"0,585",[g/Vehkm]
FR,2035,VT,CO2(rep),"113,469",[g/Vehkm]
FR,2035,VT,HC,"0,097",[g/Vehkm]
FR,2035,VT,mcarb,"41,666",[g/Vehkm]
FR,2035,VT,NOx,"0,201",[g/Vehkm]
FR,2035,VT,PM,"0,002",[g/Vehkm]
FR,2040,CAR,carb_MJ,"6,296",[MJ/Vehkm]
FR,2040,CAR,CO,"0,218",[g/Vehkm]
FR,2040,CAR,CO2(rep),"398,971",[g/Vehkm]
FR,2040,CAR,HC,"0,04",[g/Vehkm]
FR,2040,CAR,mcarb,"149,87",[g/Vehkm]
FR,2040,CAR,NOx,"0,249",[g/Vehkm]
FR,2040,CAR,PM,"0,003",[g/Vehkm]
FR,2040,LBus,carb_MJ,"10,043",[MJ/Vehkm]
FR,2040,LBus,CO,"0,323",[g/Vehkm]
FR,2040,LBus,CO2(rep),"438,832",[g/Vehkm]
FR,2040,LBus,HC,"0,067",[g/Vehkm]
FR,2040,LBus,mcarb,"195,797",[g/Vehkm]
FR,2040,LBus,NOx,"0,314",[g/Vehkm]
FR,2040,LBus,PM,"0,006",[g/Vehkm]
FR,2040,MC,carb_MJ,"1,293",[MJ/Vehkm]
FR,2040,MC,CO,"0,598",[g/Vehkm]
FR,2040,MC,CO2(rep),"79,217",[g/Vehkm]
FR,2040,MC,HC,"0,419",[g/Vehkm]
FR,2040,MC,mcarb,"31,802",[g/Vehkm]
FR,2040,MC,NOx,"0,018",[g/Vehkm]
FR,2040,MC,PM,"0,027",[g/Vehkm]
FR,2040,PLM,carb_MJ,"8,182",[MJ/Vehkm]
FR,2040,PLM,CO,"0,328",[g/Vehkm]
FR,2040,PLM,CO2(rep),"479,952",[g/Vehkm]
FR,2040,PLM,HC,"0,162",[g/Vehkm]
FR,2040,PLM,mcarb,"190,471",[g/Vehkm]
FR,2040,PLM,NOx,"0,412",[g/Vehkm]
FR,2040,PLM,PM,"0,004",[g/Vehkm]
FR,2040,VL,carb_MJ,"2,506",[MJ/Vehkm]
FR,2040,VL,CO,"0,751",[g/Vehkm]
FR,2040,VL,CO2(rep),"152,337",[g/Vehkm]
FR,2040,VL,HC,"0,054",[g/Vehkm]
FR,2040,VL,mcarb,"56,845",[g/Vehkm]
FR,2040,VL,NOx,"0,096",[g/Vehkm]
FR,2040,VL,PM,"0,023",[g/Vehkm]
FR,2040,VT,carb_MJ,"1,671",[MJ/Vehkm]
FR,2040,VT,CO,"0,592",[g/Vehkm]
FR,2040,VT,CO2(rep),"95,764",[g/Vehkm]
FR,2040,VT,HC,"0,099",[g/Vehkm]
